Topic,Topic_Name,Probability
-1,-1_player_server_issue_animation,[0.29052288 0.02474384 0.04021951 0.01886606]
-1,-1_player_server_issue_animation,[0.25101959 0.01581717 0.02601274 0.01486803]
-1,-1_player_server_issue_animation,[0.40546931 0.03016445 0.04666842 0.02553272]
1,1_survival_livonia_survivor_year,[9.34934257e-308 1.00000000e+000 3.28277558e-308 6.80611582e-309]
0,0_player_animation_server_issue,[0.27233871 0.01530966 0.02707222 0.01383869]
1,1_survival_livonia_survivor_year,[9.34286322e-308 1.00000000e+000 3.26823751e-308 6.80811952e-309]
2,2_server_branch_experimental_stable,[0.16821026 0.06088959 0.7503579  0.00968528]
-1,-1_player_server_issue_animation,[0.47746481 0.01929165 0.03067581 0.02376422]
1,1_survival_livonia_survivor_year,[0.15776854 0.44956092 0.05771622 0.01134339]
1,1_survival_livonia_survivor_year,[0.2020819  0.52010489 0.15023503 0.01226743]
1,1_survival_livonia_survivor_year,[9.48090746e-308 1.00000000e+000 3.37366427e-308 6.87423146e-309]
1,1_survival_livonia_survivor_year,[0.12926495 0.44929952 0.04717048 0.00930058]
1,1_survival_livonia_survivor_year,[0.18087132 0.62419292 0.07953951 0.01262053]
0,0_player_animation_server_issue,[1.00000000e+000 2.43078860e-308 3.81857323e-308 3.38569059e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.35789892e-308 3.65938368e-308 3.63551979e-308]
1,1_survival_livonia_survivor_year,[0.13371125 0.28825224 0.05045978 0.0095205 ]
1,1_survival_livonia_survivor_year,[9.51256049e-308 1.00000000e+000 3.39215262e-308 6.89342569e-309]
1,1_survival_livonia_survivor_year,[1.29271862e-307 1.00000000e+000 6.59814503e-308 8.80704645e-309]
1,1_survival_livonia_survivor_year,[0.0955264  0.72192546 0.03421201 0.00691327]
-1,-1_player_server_issue_animation,[0.31329981 0.02400257 0.04199775 0.01880876]
-1,-1_player_server_issue_animation,[0.31328036 0.02402986 0.04196783 0.01883084]
