Topic,Topic_Name,Probability
-1,-1_player_fixed_map_item,[3.59703764e-01 2.33725280e-04 8.91574694e-03 6.91177563e-04]
0,0_fixed_player_map_change,[1.00000000e+000 5.03954752e-308 1.87001934e-306 2.26444939e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.02548016e-308 8.45265785e-307 2.38402352e-307]
0,0_fixed_player_map_change,[8.91288849e-01 8.29206561e-04 3.05385530e-02 4.21795154e-03]
-1,-1_player_fixed_map_item,[0.34765731 0.00035029 0.00907274 0.00095238]
0,0_fixed_player_map_change,[9.64816190e-01 8.16817629e-04 3.02201285e-02 4.14686419e-03]
-1,-1_player_fixed_map_item,[2.15703252e-01 1.38018953e-04 7.92082046e-03 5.29019869e-04]
0,0_fixed_player_map_change,[1.00000000e+000 5.02549053e-308 8.45255422e-307 2.38397557e-307]
-1,-1_player_fixed_map_item,[5.01299447e-01 3.21919279e-04 1.15910676e-02 8.37788557e-04]
0,0_fixed_player_map_change,[7.10523528e-01 4.80651497e-04 1.31866141e-02 1.22584601e-03]
-1,-1_player_fixed_map_item,[2.13927701e-01 1.44746469e-04 6.90973419e-03 6.03906831e-04]
0,0_fixed_player_map_change,[0.32776026 0.00034222 0.01322822 0.00152127]
-1,-1_player_fixed_map_item,[7.13455990e-01 5.04323387e-04 2.28338601e-02 2.12077661e-03]
0,0_fixed_player_map_change,[9.23757797e-01 8.21588789e-04 3.03719455e-02 4.17513886e-03]
0,0_fixed_player_map_change,[8.25545686e-01 7.71297270e-04 2.85075016e-02 3.79903640e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.04761367e-308 1.88850472e-306 2.24692399e-307]
-1,-1_player_fixed_map_item,[4.71589746e-01 3.71431452e-04 1.48845079e-02 1.66216059e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.11134270e-308 2.29379816e-306 1.57905164e-307]
0,0_fixed_player_map_change,[7.67634208e-01 7.36194090e-04 2.71556120e-02 3.58737653e-03]
0,0_fixed_player_map_change,[9.11427928e-01 7.32296940e-04 2.66737591e-02 3.81135547e-03]
0,0_fixed_player_map_change,[8.52526609e-01 7.91695888e-04 2.91318918e-02 3.88464276e-03]
-1,-1_player_fixed_map_item,[6.15917673e-01 4.62925244e-04 1.83503780e-02 2.01131836e-03]
-1,-1_player_fixed_map_item,[4.54815765e-01 3.40340121e-04 1.41878240e-02 1.52557360e-03]
0,0_fixed_player_map_change,[8.72032185e-01 5.77466401e-04 1.69273968e-02 1.47063142e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.29492948e-308 1.94521243e-306 2.73351997e-307]
0,0_fixed_player_map_change,[8.92546277e-01 6.47464051e-04 1.89084209e-02 1.64676691e-03]
0,0_fixed_player_map_change,[9.69567680e-01 7.12024736e-04 2.61649287e-02 3.55536666e-03]
-1,-1_player_fixed_map_item,[8.71241975e-01 5.82883803e-04 2.78591509e-02 1.93294295e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.05211063e-308 1.89820394e-306 2.25235078e-307]
0,0_fixed_player_map_change,[9.67746280e-01 7.55664159e-04 2.77297471e-02 3.76830836e-03]
-1,-1_player_fixed_map_item,[3.95181324e-01 3.66836317e-04 9.09532010e-03 9.82327460e-04]
-1,-1_player_fixed_map_item,[6.20257776e-01 4.34074290e-04 1.03964897e-02 1.00132616e-03]
0,0_fixed_player_map_change,[9.36484362e-01 6.11172002e-04 1.65525217e-02 1.54540404e-03]
-1,-1_player_fixed_map_item,[7.63690576e-01 5.39557334e-04 2.32887445e-02 2.01462237e-03]
-1,-1_player_fixed_map_item,[7.14809693e-01 4.77605508e-04 2.12921851e-02 1.77770624e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.02550817e-308 8.45261655e-307 2.38400696e-307]
0,0_fixed_player_map_change,[0.45463271 0.00046971 0.01716259 0.00232291]
0,0_fixed_player_map_change,[7.46853073e-01 6.08554213e-04 2.31793880e-02 2.20463597e-03]
-1,-1_player_fixed_map_item,[8.92326560e-01 5.83243445e-04 2.33831892e-02 1.91381455e-03]
-1,-1_player_fixed_map_item,[8.83209992e-01 5.46224841e-04 2.35768889e-02 1.83110606e-03]
-1,-1_player_fixed_map_item,[4.64376942e-01 2.83611651e-04 1.21246529e-02 8.48426794e-04]
-1,-1_player_fixed_map_item,[8.44350597e-01 5.37041321e-04 2.36136650e-02 1.76988239e-03]
-1,-1_player_fixed_map_item,[4.98763397e-01 3.25730237e-04 1.45893090e-02 1.09925134e-03]
-1,-1_player_fixed_map_item,[9.17848048e-01 5.80340673e-04 2.37394875e-02 2.02748687e-03]
0,0_fixed_player_map_change,[8.19278659e-01 6.11075804e-04 2.25596201e-02 2.77785470e-03]
-1,-1_player_fixed_map_item,[6.88022292e-01 4.70391866e-04 1.90936259e-02 1.92369321e-03]
-1,-1_player_fixed_map_item,[6.40194940e-01 4.36704657e-04 1.77670504e-02 1.77856107e-03]
-1,-1_player_fixed_map_item,[6.11067996e-01 4.10799465e-04 1.79155753e-02 1.39630608e-03]
-1,-1_player_fixed_map_item,[8.70028365e-01 6.78903731e-04 2.88428140e-02 2.90471913e-03]
-1,-1_player_fixed_map_item,[8.45845386e-01 5.81077633e-04 2.76410282e-02 2.22156402e-03]
-1,-1_player_fixed_map_item,[8.49766507e-01 5.84145373e-04 2.77781062e-02 2.23487767e-03]
-1,-1_player_fixed_map_item,[6.14712373e-01 4.74504758e-04 2.08595747e-02 1.86300810e-03]
-1,-1_player_fixed_map_item,[6.23746123e-01 4.13174033e-04 1.79987950e-02 1.39779092e-03]
0,0_fixed_player_map_change,[7.72156551e-01 5.85171361e-04 2.62711026e-02 1.81388550e-03]
-1,-1_player_fixed_map_item,[7.89949798e-01 5.63708109e-04 2.43806863e-02 2.15381347e-03]
-1,-1_player_fixed_map_item,[4.03060491e-01 2.82070073e-04 1.38867237e-02 9.62410301e-04]
-1,-1_player_fixed_map_item,[7.11871443e-01 4.55246005e-04 2.37895399e-02 1.60601484e-03]
-1,-1_player_fixed_map_item,[9.26514850e-01 7.65281336e-04 2.99428100e-02 2.94532614e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.04056407e-308 1.86757262e-306 2.29218678e-307]
-1,-1_player_fixed_map_item,[4.56139563e-01 2.63796853e-04 1.24021687e-02 8.38488945e-04]
0,0_fixed_player_map_change,[1.00000000e+000 4.88019923e-308 1.93558426e-306 1.57064771e-307]
0,0_fixed_player_map_change,[6.90558222e-01 6.71930380e-04 2.43924280e-02 3.36917411e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.04544040e-308 2.04098975e-306 1.72877107e-307]
-1,-1_player_fixed_map_item,[3.82505266e-01 2.33957584e-04 1.34903199e-02 9.45248133e-04]
0,0_fixed_player_map_change,[6.09470082e-01 4.44621262e-04 1.78801792e-02 1.53925953e-03]
0,0_fixed_player_map_change,[9.51259766e-01 8.04320155e-04 4.54400732e-02 2.49584108e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.29693100e-308 1.94519715e-306 2.75517698e-307]
-1,-1_player_fixed_map_item,[7.39921014e-01 5.25804224e-04 2.25794369e-02 1.97932275e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.13340562e-308 2.00947714e-306 1.84029374e-307]
-1,-1_player_fixed_map_item,[6.12812313e-01 4.36082218e-04 1.64060530e-02 1.48157565e-03]
-1,-1_player_fixed_map_item,[2.12861586e-01 1.40613239e-04 4.90729750e-03 3.61263874e-04]
-1,-1_player_fixed_map_item,[9.52129342e-02 7.31626335e-05 2.35066854e-03 1.99355664e-04]
-1,-1_player_fixed_map_item,[8.75506435e-01 6.67528324e-04 2.81056816e-02 2.39535228e-03]
0,0_fixed_player_map_change,[0.97085075 0.00100176 0.02542137 0.00272611]
-1,-1_player_fixed_map_item,[5.93555018e-01 3.78398033e-04 1.59340967e-02 1.29879854e-03]
0,0_fixed_player_map_change,[8.14151319e-01 5.28942400e-04 1.45844831e-02 1.34730847e-03]
0,0_fixed_player_map_change,[9.85445557e-01 4.78542685e-04 1.28698489e-02 1.20605180e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.27628375e-308 1.94947957e-306 2.63908867e-307]
-1,-1_player_fixed_map_item,[8.59753964e-01 6.30572606e-04 2.64502583e-02 2.25554251e-03]
0,0_fixed_player_map_change,[0.33102066 0.00034594 0.01333461 0.00153608]
0,0_fixed_player_map_change,[6.80228639e-01 5.05565725e-04 2.05685244e-02 1.79977595e-03]
0,0_fixed_player_map_change,[1.00000000e+000 4.82802047e-308 1.92938047e-306 1.57480582e-307]
0,0_fixed_player_map_change,[8.14829337e-01 7.18422198e-04 2.89199728e-02 2.68978420e-03]
-1,-1_player_fixed_map_item,[8.91503366e-01 6.18745657e-04 2.61790104e-02 2.16536561e-03]
-1,-1_player_fixed_map_item,[7.90542437e-01 5.54878935e-04 2.38569171e-02 2.09377298e-03]
0,0_fixed_player_map_change,[8.24463776e-01 5.64869442e-04 2.29754245e-02 1.92929246e-03]
0,0_fixed_player_map_change,[9.65253730e-01 6.05203673e-04 2.35978204e-02 2.15926435e-03]
-1,-1_player_fixed_map_item,[7.67285104e-01 5.14499889e-04 2.46991954e-02 1.64192021e-03]
-1,-1_player_fixed_map_item,[1.35340798e-01 9.79052385e-05 4.19643831e-03 4.72531530e-04]
0,0_fixed_player_map_change,[5.37280935e-01 4.38601277e-04 2.11424685e-02 1.46929225e-03]
-1,-1_player_fixed_map_item,[2.27596777e-01 1.75355327e-04 8.05231596e-03 8.81739720e-04]
0,0_fixed_player_map_change,[1.00000000e+000 5.02782470e-308 1.97143529e-306 1.70135219e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.29473609e-308 1.95352371e-306 2.74311420e-307]
-1,-1_player_fixed_map_item,[7.90273870e-01 5.59500424e-04 2.40999163e-02 2.11471894e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.04831843e-308 1.91899455e-306 2.28891616e-307]
-1,-1_player_fixed_map_item,[6.23361190e-01 3.63477764e-04 1.49904392e-02 1.15268293e-03]
0,0_fixed_player_map_change,[9.71191830e-01 5.63712837e-04 2.53815666e-02 1.75743922e-03]
-1,-1_player_fixed_map_item,[8.07064312e-01 6.19021947e-04 2.70614123e-02 2.75869162e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.00678528e-308 1.93244232e-306 1.68792719e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.29882253e-308 1.94129594e-306 2.75091937e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.02552379e-308 8.45289685e-307 2.38415328e-307]
-1,-1_player_fixed_map_item,[1.89724879e-01 1.58665917e-04 4.93770041e-03 4.03447369e-04]
-1,-1_player_fixed_map_item,[2.16490205e-01 1.77834220e-04 5.45176891e-03 4.52288830e-04]
0,0_fixed_player_map_change,[9.80522053e-01 6.97153829e-04 1.69317179e-02 1.84907494e-03]
0,0_fixed_player_map_change,[0.20656328 0.00027974 0.00467873 0.00131399]
0,0_fixed_player_map_change,[6.65290300e-01 5.09409951e-04 2.21739896e-02 1.60291433e-03]
0,0_fixed_player_map_change,[8.71841486e-01 5.82324000e-04 2.28989825e-02 1.95301779e-03]
0,0_fixed_player_map_change,[1.00000000e+000 4.82092751e-308 1.94627123e-306 1.57520057e-307]
0,0_fixed_player_map_change,[9.01259491e-01 5.59147142e-04 2.26464420e-02 1.92843289e-03]
-1,-1_player_fixed_map_item,[9.17205212e-01 6.56185003e-04 2.44548344e-02 2.27121140e-03]
0,0_fixed_player_map_change,[1.00000000e+000 4.39326737e-308 1.17819453e-306 1.10343229e-307]
0,0_fixed_player_map_change,[9.70710422e-01 6.80341306e-04 2.52475225e-02 3.36171465e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.02839588e-308 1.96944355e-306 1.70765759e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.02657747e-308 1.97391955e-306 1.70101669e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.01696374e-308 1.92941393e-306 1.69218790e-307]
0,0_fixed_player_map_change,[1.00000000e+000 4.38087742e-308 1.16140777e-306 1.09152859e-307]
0,0_fixed_player_map_change,[8.97703150e-01 7.62304457e-04 2.80981328e-02 3.76666326e-03]
0,0_fixed_player_map_change,[9.14805122e-01 5.32873774e-04 2.02949697e-02 1.79542649e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.03068432e-308 1.96475098e-306 1.71029083e-307]
-1,-1_player_fixed_map_item,[3.33392177e-01 1.77168719e-04 3.21136549e-03 3.26859140e-04]
0,0_fixed_player_map_change,[1.00000000e+000 5.02665017e-308 1.96838992e-306 1.69940186e-307]
2,2_art_view_post_view_post,[3.86769456e-305 5.48635296e-308 1.00000000e+000 1.85375540e-307]
-1,-1_player_fixed_map_item,[8.43999309e-01 5.79166357e-04 2.48366446e-02 1.93014824e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.03047100e-308 1.87935597e-306 2.27882249e-307]
-1,-1_player_fixed_map_item,[8.96467646e-02 5.66814219e-05 2.07940162e-03 1.51804210e-04]
0,0_fixed_player_map_change,[9.71930219e-01 6.53258796e-04 2.41885527e-02 3.22796960e-03]
0,0_fixed_player_map_change,[9.57146585e-01 6.46336881e-04 2.58174778e-02 2.18202274e-03]
0,0_fixed_player_map_change,[1.00000000e+000 4.39248663e-308 1.20887137e-306 1.12269445e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.04426482e-308 2.01084169e-306 1.74068257e-307]
0,0_fixed_player_map_change,[1.00000000e+000 5.12784699e-308 1.98131307e-306 1.84811438e-307]
-1,-1_player_fixed_map_item,[3.03544604e-01 1.94319975e-04 8.83706013e-03 6.59603047e-04]
0,0_fixed_player_map_change,[9.84574428e-01 5.43853323e-04 1.34147854e-02 1.46693285e-03]
-1,-1_player_fixed_map_item,[9.39928740e-01 6.61552163e-04 3.00849545e-02 2.35839563e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.29539062e-308 1.94153023e-306 2.74668054e-307]
-1,-1_player_fixed_map_item,[8.53424543e-01 6.00123472e-04 2.43186147e-02 2.04500771e-03]
0,0_fixed_player_map_change,[0.5326814  0.00054759 0.02096873 0.00258507]
-1,-1_player_fixed_map_item,[8.64947013e-01 5.73196534e-04 2.26013983e-02 1.85435405e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.03887301e-308 1.95675942e-306 1.71675746e-307]
-1,-1_player_fixed_map_item,[5.96687966e-01 3.92642582e-04 1.54765823e-02 1.36402530e-03]
-1,-1_player_fixed_map_item,[6.79420077e-01 4.81657649e-04 2.02987398e-02 2.04312454e-03]
0,0_fixed_player_map_change,[8.84489102e-01 5.97373139e-04 2.26057002e-02 2.00259670e-03]
-1,-1_player_fixed_map_item,[5.93683599e-01 4.32869593e-04 1.59252411e-02 1.50078640e-03]
0,0_fixed_player_map_change,[0.41238828 0.00042299 0.01668449 0.00197626]
0,0_fixed_player_map_change,[5.98446272e-01 3.56925174e-04 5.99192536e-03 1.68734285e-03]
0,0_fixed_player_map_change,[4.91249059e-01 3.76366732e-04 1.47996176e-02 1.25079936e-03]
-1,-1_player_fixed_map_item,[7.28501166e-01 5.16656227e-04 2.21528753e-02 1.94278845e-03]
-1,-1_player_fixed_map_item,[9.06790981e-01 5.93779451e-04 2.80188047e-02 2.27887908e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.02603297e-308 8.45218221e-307 2.38421938e-307]
0,0_fixed_player_map_change,[4.91631139e-01 4.27922927e-04 7.17560426e-03 2.01871240e-03]
-1,-1_player_fixed_map_item,[9.52261182e-01 6.98051718e-04 2.87802770e-02 2.26740001e-03]
0,0_fixed_player_map_change,[6.23752250e-01 5.55825893e-04 2.31215064e-02 2.07161182e-03]
-1,-1_player_fixed_map_item,[9.45744954e-01 6.72922519e-04 2.57683711e-02 2.35163358e-03]
0,0_fixed_player_map_change,[1.00000000e+000 4.41876071e-308 1.23336657e-306 1.13768950e-307]
0,0_fixed_player_map_change,[4.67496018e-01 3.77625445e-04 1.40361173e-02 1.23030432e-03]
0,0_fixed_player_map_change,[9.58673230e-01 8.67225122e-04 3.14459865e-02 4.46325431e-03]
0,0_fixed_player_map_change,[5.00528855e-01 4.44071542e-04 2.10013956e-02 1.56157495e-03]
-1,-1_player_fixed_map_item,[6.21811031e-01 4.39617731e-04 1.76376512e-02 1.42279026e-03]
-1,-1_player_fixed_map_item,[2.78123816e-01 2.52573688e-04 7.23045231e-03 6.81674113e-04]
0,0_fixed_player_map_change,[1.00000000e+000 4.38880926e-308 1.16733516e-306 1.09352167e-307]
-1,-1_player_fixed_map_item,[8.84647586e-01 6.57871288e-04 2.52738458e-02 2.05775887e-03]
0,0_fixed_player_map_change,[7.73009778e-01 5.88255347e-04 2.38259537e-02 2.12940650e-03]
