Topic,Probability
1,[0.04066035 0.95933965]
1,[0.02436967 0.97563033]
1,[0.03583753 0.96416247]
1,[0.04307405 0.95692595]
1,[0.06646856 0.93353144]
1,[0.15864481 0.84135519]
1,[0.08646026 0.91353974]
1,[0.15783936 0.84216064]
1,[0.1395191 0.8604809]
1,[0.02732123 0.97267877]
1,[0.12674108 0.87325892]
1,[0.15059835 0.79799211]
1,[0.06020572 0.93979428]
1,[0.14386404 0.85613596]
1,[0.08772546 0.91227454]
1,[0.06158846 0.93841154]
1,[0.08528125 0.91471875]
1,[0.07868458 0.92131542]
1,[0.02678725 0.97321275]
1,[1.9680998e-309 1.0000000e+000]
1,[2.37607586e-309 1.00000000e+000]
1,[0.09304858 0.90695142]
1,[0.12029183 0.87970817]
1,[0.11879174 0.88120826]
1,[0.0447141 0.9552859]
1,[1.63379836e-309 1.00000000e+000]
1,[1.63182871e-309 1.00000000e+000]
1,[2.24442231e-309 1.00000000e+000]
1,[2.25313635e-309 1.00000000e+000]
1,[2.20930823e-309 1.00000000e+000]
1,[0.0056143 0.9943857]
1,[0.15489466 0.83865213]
1,[0.15466209 0.84533791]
1,[2.25386763e-309 1.00000000e+000]
1,[2.26294873e-309 1.00000000e+000]
1,[1.41040811e-309 1.00000000e+000]
1,[1.40926242e-309 1.00000000e+000]
1,[1.35791358e-309 1.00000000e+000]
1,[1.36065674e-309 1.00000000e+000]
1,[0.05541119 0.94458881]
1,[0.12921689 0.87078311]
1,[0.03411679 0.96588321]
1,[0.05322254 0.94677746]
1,[0.05016315 0.94983685]
1,[1.93003435e-309 1.00000000e+000]
1,[1.92205249e-309 1.00000000e+000]
1,[1.94334267e-309 1.00000000e+000]
1,[1.94568277e-309 1.00000000e+000]
1,[1.93319661e-309 1.00000000e+000]
1,[1.92952739e-309 1.00000000e+000]
1,[0.0319317 0.9680683]
1,[0.02760298 0.97239702]
1,[1.95283628e-309 1.00000000e+000]
1,[0.01796252 0.98203748]
1,[2.25355751e-309 1.00000000e+000]
1,[2.24883691e-309 1.00000000e+000]
1,[0.17373347 0.67635124]
1,[1.99160799e-309 1.00000000e+000]
1,[1.96875644e-309 1.00000000e+000]
1,[0.0242636 0.9757364]
1,[0.03122782 0.96877218]
1,[0.0309317 0.9690683]
1,[2.13284569e-309 1.00000000e+000]
1,[0.12658 0.87342]
1,[0.12079494 0.87920506]
1,[1.95758067e-309 1.00000000e+000]
1,[1.96414054e-309 1.00000000e+000]
1,[0.1354892 0.8645108]
1,[0.13827072 0.86172928]
1,[2.33443478e-309 1.00000000e+000]
1,[2.33892933e-309 1.00000000e+000]
1,[0.00616882 0.99383118]
1,[1.96566003e-309 1.00000000e+000]
1,[1.97335302e-309 1.00000000e+000]
1,[1.96931861e-309 1.00000000e+000]
1,[0.12519645 0.87480355]
1,[0.12849131 0.82358133]
1,[1.93482653e-309 1.00000000e+000]
1,[1.93132053e-309 1.00000000e+000]
1,[0.02206417 0.97793583]
1,[0.16149115 0.76923171]
1,[0.16090286 0.8071439 ]
1,[0.01289027 0.98710973]
1,[0.01901219 0.98098781]
1,[0.05059137 0.94940863]
1,[0.09816979 0.90183021]
1,[0.1062615 0.8937385]
1,[0.09820805 0.88690653]
1,[0.09384142 0.87393465]
1,[2.79394754e-309 1.00000000e+000]
1,[2.8213751e-309 1.0000000e+000]
1,[3.28778971e-309 1.00000000e+000]
1,[3.30747937e-309 1.00000000e+000]
1,[2.86615164e-309 1.00000000e+000]
1,[0.01884302 0.98115698]
1,[1.95401834e-309 1.00000000e+000]
1,[1.312339e-309 1.000000e+000]
1,[2.91543487e-309 1.00000000e+000]
1,[2.89187004e-309 1.00000000e+000]
1,[3.27923836e-309 1.00000000e+000]
1,[0.01019638 0.98980362]
1,[2.71691331e-309 1.00000000e+000]
1,[2.73132691e-309 1.00000000e+000]
1,[0.05521406 0.94478594]
1,[2.7446306e-309 1.0000000e+000]
1,[2.75079963e-309 1.00000000e+000]
1,[2.72381922e-309 1.00000000e+000]
1,[2.72494404e-309 1.00000000e+000]
1,[0.04145643 0.95854357]
1,[0.04173267 0.95826733]
1,[0.20332934 0.67971002]
1,[2.83842379e-309 1.00000000e+000]
1,[2.76308638e-309 1.00000000e+000]
1,[2.72133949e-309 1.00000000e+000]
1,[2.70371463e-309 1.00000000e+000]
1,[0.01406549 0.98593451]
1,[0.01052163 0.98947837]
1,[2.87359475e-309 1.00000000e+000]
1,[2.88203421e-309 1.00000000e+000]
1,[0.09046446 0.90953554]
1,[0.1270039 0.8729961]
1,[0.13927493 0.86072507]
1,[0.09455837 0.90544163]
1,[0.07110139 0.92889861]
1,[0.07151639 0.92848361]
1,[0.13310378 0.86689622]
1,[0.1292802 0.8707198]
1,[0.13323013 0.86676987]
1,[0.13328239 0.86671761]
1,[0.07084604 0.92915396]
1,[0.0642974 0.9357026]
1,[0.00485013 0.99514987]
1,[3.12141568e-309 1.00000000e+000]
0,[1.00000000e+000 3.97427739e-309]
0,[1.000000e+000 3.970508e-309]
0,[1.0000000e+000 3.8070904e-309]
0,[1.00000000e+000 3.79852243e-309]
1,[0.06130744 0.93869256]
0,[1.000000e+000 3.996528e-309]
0,[1.00000000e+000 3.73073053e-309]
0,[1.00000000e+000 4.04051361e-309]
0,[1.00000000e+000 4.03333793e-309]
1,[0.04735469 0.95264531]
1,[2.90947652e-309 1.00000000e+000]
1,[2.93896352e-309 1.00000000e+000]
1,[0.05870278 0.94129722]
1,[2.9138493e-309 1.0000000e+000]
1,[0.00603935 0.99396065]
1,[2.90251068e-309 1.00000000e+000]
1,[2.90135173e-309 1.00000000e+000]
1,[0.02998343 0.97001657]
1,[0.03872469 0.96127531]
1,[0.0837676 0.9162324]
1,[0.0288001 0.9711999]
1,[0.1169863  0.82612821]
1,[2.71294487e-309 1.00000000e+000]
1,[2.98548252e-309 1.00000000e+000]
1,[2.9360752e-309 1.0000000e+000]
1,[1.33475345e-309 1.00000000e+000]
1,[1.17262703e-309 1.00000000e+000]
1,[1.09055341e-309 1.00000000e+000]
1,[0.07487094 0.92512906]
1,[0.0568515 0.9431485]
1,[0.10589657 0.60884937]
1,[2.92425655e-309 1.00000000e+000]
1,[0.03226195 0.96773805]
1,[0.15385944 0.84614056]
1,[0.15664364 0.84335636]
1,[0.15253871 0.84746129]
1,[0.15895505 0.84104495]
1,[3.18870031e-309 1.00000000e+000]
1,[0.01832017 0.98167983]
1,[3.22125212e-309 1.00000000e+000]
1,[3.22562624e-309 1.00000000e+000]
1,[3.16433782e-309 1.00000000e+000]
1,[3.17107501e-309 1.00000000e+000]
1,[0.06726135 0.93273865]
1,[0.06476181 0.93523819]
1,[0.03621491 0.96378509]
1,[0.13013762 0.86986238]
1,[0.14110812 0.85889188]
1,[2.78516504e-309 1.00000000e+000]
1,[2.86088402e-309 1.00000000e+000]
1,[0.03797589 0.96202411]
1,[3.12855209e-309 1.00000000e+000]
1,[3.13723452e-309 1.00000000e+000]
1,[1.64807009e-309 1.00000000e+000]
1,[0.01063293 0.98936707]
1,[0.06500417 0.93499583]
1,[3.14463071e-309 1.00000000e+000]
1,[3.12898347e-309 1.00000000e+000]
1,[1.09301085e-309 1.00000000e+000]
1,[3.011986e-309 1.000000e+000]
1,[3.01824555e-309 1.00000000e+000]
1,[3.18526236e-309 1.00000000e+000]
1,[3.19830232e-309 1.00000000e+000]
1,[0.03838163 0.96161837]
1,[0.04978834 0.95021166]
1,[0.02638616 0.94940237]
1,[0.01192777 0.98807223]
1,[0.00607439 0.99392561]
1,[0.15165191 0.84834809]
1,[0.15009685 0.84990315]
1,[0.03058704 0.96941296]
1,[1.2619908e-309 1.0000000e+000]
1,[0.0571862 0.9428138]
1,[0.0504227 0.9495773]
1,[0.13413298 0.43138609]
1,[0.13350173 0.41523832]
1,[0.13381758 0.43869751]
1,[0.13378337 0.43828723]
1,[0.0261763 0.9738237]
1,[0.03306037 0.96693963]
1,[3.3167613e-309 1.0000000e+000]
1,[0.02849067 0.97150933]
1,[0.10370662 0.89629338]
1,[0.10249699 0.89750301]
1,[2.87402152e-309 1.00000000e+000]
1,[2.89662869e-309 1.00000000e+000]
1,[0.03144406 0.96855594]
1,[0.17586549 0.70327781]
1,[0.17575068 0.70185625]
1,[0.14949739 0.7781884 ]
1,[0.14952902 0.78213531]
1,[0.16645906 0.83354094]
1,[0.16228462 0.83771538]
1,[0.12217264 0.87782736]
1,[0.11972245 0.88027755]
1,[0.1772702  0.72553542]
1,[0.17607512 0.70416844]
1,[0.07225941 0.92774059]
1,[1.07393531e-309 1.00000000e+000]
1,[1.07949811e-309 1.00000000e+000]
1,[0.14020718 0.85979282]
1,[0.1435528 0.8564472]
1,[0.17654373 0.71495664]
1,[0.17895929 0.75594653]
1,[3.2570929e-309 1.0000000e+000]
1,[3.25358619e-309 1.00000000e+000]
1,[3.30326816e-309 1.00000000e+000]
1,[3.3135442e-309 1.0000000e+000]
1,[0.02716684 0.97283316]
1,[0.17763288 0.73467319]
1,[0.17770003 0.73691513]
1,[0.21897017 0.74798916]
1,[0.21307833 0.73955799]
1,[0.02731829 0.97268171]
1,[0.23245698 0.76754302]
1,[0.22972381 0.77027619]
1,[0.08728435 0.91271565]
1,[0.08915248 0.91084752]
1,[0.11410127 0.88589873]
1,[0.11939836 0.88060164]
1,[0.07626789 0.92373211]
1,[0.0732612 0.9267388]
1,[2.77433678e-309 1.00000000e+000]
1,[2.72609568e-309 1.00000000e+000]
1,[0.1628391 0.8371609]
1,[0.15740301 0.84259699]
1,[0.02426358 0.97573642]
1,[0.03717377 0.96282623]
1,[0.03757821 0.96242179]
1,[0.22553549 0.77446451]
1,[0.22678325 0.77321675]
1,[0.11984395 0.88015605]
1,[0.1246893 0.8753107]
1,[1.15895541e-309 1.00000000e+000]
1,[0.0615438 0.9384562]
1,[0.05975976 0.94024024]
1,[0.14587148 0.85412852]
1,[0.20844786 0.79155214]
1,[0.22010266 0.77989734]
1,[1.65366542e-309 1.00000000e+000]
1,[1.6682089e-309 1.0000000e+000]
1,[0.01604624 0.98395376]
1,[0.07758573 0.92241427]
1,[0.07769365 0.92230635]
1,[0.0036718 0.9963282]
1,[1.83102354e-309 1.00000000e+000]
1,[0.02229601 0.97770399]
1,[0.02526884 0.97473116]
1,[0.00503189 0.99496811]
1,[0.01897311 0.98102689]
1,[0.0251349 0.9748651]
1,[1.6220269e-309 1.0000000e+000]
1,[0.24081728 0.75918272]
1,[0.23716567 0.76283433]
1,[0.03183551 0.96816449]
1,[0.04373378 0.95626622]
1,[0.04424259 0.95575741]
1,[1.65844598e-309 1.00000000e+000]
1,[1.6540747e-309 1.0000000e+000]
1,[1.65685859e-309 1.00000000e+000]
1,[0.14840619 0.85159381]
1,[0.14946963 0.85053037]
1,[1.14926939e-309 1.00000000e+000]
1,[0.11839817 0.88160183]
1,[0.1404886 0.8595114]
1,[0.03561559 0.96438441]
1,[1.68059319e-309 1.00000000e+000]
1,[1.70661318e-309 1.00000000e+000]
1,[0.19473163 0.80526837]
1,[0.19335236 0.80664764]
1,[0.0589027 0.7168082]
1,[0.19308877 0.80691123]
1,[0.19184086 0.80815914]
1,[0.20519558 0.79480442]
1,[0.20437173 0.79562827]
1,[0.01397801 0.98602199]
1,[1.94776313e-309 1.00000000e+000]
1,[1.9755783e-309 1.0000000e+000]
1,[0.03602005 0.96397995]
1,[1.1000306e-309 1.0000000e+000]
1,[0.08509518 0.91490482]
1,[0.08393493 0.91606507]
1,[3.279566e-309 1.000000e+000]
1,[3.2935588e-309 1.0000000e+000]
1,[3.47101316e-309 1.00000000e+000]
1,[3.35526642e-309 1.00000000e+000]
1,[0.01210884 0.98789116]
1,[0.00947156 0.99052844]
1,[3.3526087e-309 1.0000000e+000]
1,[3.34833564e-309 1.00000000e+000]
1,[0.07919437 0.92080563]
1,[0.06559779 0.93440221]
1,[0.12686641 0.6605546 ]
1,[3.2015974e-309 1.0000000e+000]
1,[3.17439494e-309 1.00000000e+000]
1,[0.10972699 0.84190735]
1,[0.12429786 0.87570214]
1,[0.00544302 0.99455698]
1,[0.11780528 0.88219472]
1,[3.15727603e-309 1.00000000e+000]
1,[3.10718618e-309 1.00000000e+000]
1,[2.18141622e-309 1.00000000e+000]
1,[2.09057042e-309 1.00000000e+000]
1,[0.16559764 0.83440236]
1,[0.16505077 0.83494923]
1,[0.17521481 0.82478519]
1,[0.17137548 0.82862452]
1,[0.15835601 0.84164399]
1,[0.15398275 0.84601725]
1,[0.146799 0.692665]
1,[0.05827556 0.94172444]
1,[0.00733625 0.99266375]
1,[1.70053868e-309 1.00000000e+000]
1,[0.02259227 0.97740773]
1,[0.05623141 0.94376859]
1,[0.05183106 0.94816894]
1,[1.0984222e-309 1.0000000e+000]
1,[0.00981013 0.99018987]
1,[0.11057796 0.88942204]
1,[0.06201527 0.93798473]
1,[0.02906473 0.97093527]
1,[0.03216484 0.96783516]
1,[3.22393174e-309 1.00000000e+000]
1,[3.22293193e-309 1.00000000e+000]
1,[0.01764719 0.98235281]
1,[0.05764437 0.94235563]
1,[0.04944414 0.95055586]
1,[0.04727183 0.95272817]
1,[1.16227365e-309 1.00000000e+000]
1,[0.08745545 0.91254455]
1,[0.05951973 0.94048027]
1,[0.06065724 0.93934276]
1,[0.16345894 0.83654106]
1,[0.16361022 0.83638978]
1,[1.61176159e-309 1.00000000e+000]
1,[1.6659872e-309 1.0000000e+000]
1,[0.01765301 0.98234699]
1,[1.53321873e-309 1.00000000e+000]
1,[1.55423766e-309 1.00000000e+000]
1,[0.08882545 0.89937075]
1,[0.09248525 0.90751475]
1,[1.26697376e-309 1.00000000e+000]
1,[0.03741716 0.96258284]
1,[2.17869322e-309 1.00000000e+000]
1,[1.14751422e-309 1.00000000e+000]
1,[0.0207876 0.9792124]
1,[2.1554332e-309 1.0000000e+000]
1,[3.19673574e-309 1.00000000e+000]
1,[0.00873368 0.99126632]
0,[1.00000000e+000 3.81119685e-309]
0,[1.00000000e+000 3.78568255e-309]
1,[0.06453639 0.93546361]
1,[0.16954573 0.83045427]
1,[0.17002255 0.82997745]
1,[0.0484323 0.9515677]
1,[0.05149962 0.94850038]
1,[2.13820729e-309 1.00000000e+000]
1,[0.16614034 0.83385966]
1,[1.12473154e-309 1.00000000e+000]
1,[2.1342912e-309 1.0000000e+000]
1,[1.12473943e-309 1.00000000e+000]
1,[1.13292858e-309 1.00000000e+000]
1,[0.0314464 0.9685536]
1,[0.1145069 0.8854931]
1,[0.12241892 0.87758108]
1,[0.01548327 0.98451673]
1,[1.93076834e-309 1.00000000e+000]
1,[2.16871556e-309 1.00000000e+000]
1,[0.04963788 0.95036212]
1,[0.04067857 0.95932143]
1,[0.11449314 0.82041268]
1,[0.11201928 0.80551496]
